Why CSMA/CD MAC protocol is not used in Satellite Systems?,Remembering,WT
Explain the IMEI & IMSI structures of GSM network.,Understanding,WT
Explain why only seven slaves are supported inside a Piconet.,Understanding,WT
 Explain the terms DIFS,PIFS and SIFS with respect to DCF operation. ,Understanding,WT
 With neat diagram, explain cdmaOne protocol architecture. ,Understanding,WT
Explain the protocol architecture and security mechanism of DECT.,Understanding,WT
List and explain the Downlink (Forward Link) Physical Channels and Uplink (Reverse) Physical Channels of cdma2000.,Understanding,WT
 Determine the number of mobile users that can be supported by a sector of three - sector cell (10) of CDMA system. The RF bandwidth is 1.25 MHz to transmit data at 9.6 kbps. Eb/No — 6 dB, the interference from neighbouring cells p= 50% , the power control accuracy factor cL-0.85, the voice- activity factor v--0.6, and the improvement from sectorisation Y= 2.55 the voice- activity factor v--0.6, and the improvement from sectorisation Y= 2.55. ,Applying,WT
What is WLL? Explain the MMDS & LMDS with the help of diagram. State its advantages & disadvantages.,Understanding,WT
 With neat diagram, explain the IEEE 802.11 system architecture. ,Remembering,WT
How is packet routing performed in Wireless Ad Hoc networks? Explain CGSR protocol.,Understanding,WT
Explain the Wired Equivalent Privacy Protocol (WEP). State the different fields present in the WEP frame.,Understanding,WT
Write a short note on spread spectrum.,Remembering,WT
Write a short note on Wireless Lan Topologies. ,Remembering,WT
Differentiate between a MAC address and an LLC address.,Understanding,WT
What are the characteristics of the major 3G standards?,Remembering,WT
State the relationship between HYPERLAN-2 and WATM.,Analysing,WT
What is meant by overlaid cell concept in cell splitting?,Understanding,WT
 In GSM network, there are some databases used for various purposes. What are these databases? What are their functions? ,Remembering,WT
Describe major research issue or challange in 4G wireless network,Understanding,WT
Illustrate the concepts of Frequency Hopping Spread Spectrum (FHSS) and Direct Sequence Spread Spectrum (DSSS) with suitable examples.,Understanding,WT
Descirbe the GSM architecture. Describe different elements in this architecture.,Understanding,WT
Describe the four major technologies for WLL systems. What are the advantages and disadvantages of these approaches?,Understanding,WT
Explain the possible attacks on Wireless LAN. Explain WEP in detail.,Understanding,WT
Discuss the HIPERLAN-1 PHY and MAC layers in detail.,Applying,WT
Explain the reference model and protocol entities of WATM.,Understanding,WT
Discuss the connection management followed in Bluetooth technology. Explain the frame format in Bluetooth technology.,Evaluating,WT
Draw the network topology of IS-41 protocol? Explain the concepts of inter system handoff and automatic roaming?,Understanding,WT
Suppose that an AMPS operator would like to migrate its network to 3G directly. Which technology should be chosen?,Analysing,WT
Explain the VSAT system.,Understanding,WT
Write a short note note on cdma2000., Understanding
 ,WT
Write a short note on economics of wireless network.,Understanding,WT
Write a short note on OFDM.,Understanding,WT
Write a short note on Mobile IP.,Understanding,WT
Explain the IEFE 802.11 in detail.,Understanding,WT
Explain the main factors of change in economics of Wireless Technology.,Understanding,WT
Define piconet and scatternet. Explain Bluetooth Protocol Stack.,Understanding,WT
Explain the WIMAX system and compare the different 802.1A standards.,Understanding,WT
Explain the GPRS architecture and explain how authentication and encryption is provided in GSM.,Understanding,WT
 Explain the 802.11 MAC management functions. Explain the Power Management
function with a neat diagram.
 ,Understanding,WT
Explain the hidden and exposed terminal problem with solution.,Understanding,WT
Why is the concept of spread spectrum important? Briefly explain FHSS and DSSS concept.,Understanding,WT
 With a neat diagram, explain Electromagnetic Spectrum. List the advantages and disadvantages of wireless technology. ,Understanding,WT
Neatly explain the WLL Architecture. Explain the two local loop techniques.,Understanding,WT
Write a short note on Virtual Private Network (VPN).,Remembering,WT
Write a short note on handoff strategies.,Remembering,WT
What are challenges of wireless network? Explain how wireless networks have evolved?,Understanding,WT
 Compare the Frequency Hopping Spread Spectrum (FHSS) and Direct Sequence
Spread Spectrum (DSSS).
 ,Understanding,WT
Elaborate the concept of spectrum allocation .,Creating,WT
Elaborate the concepts of service classes and applications.,Creating,WT
Draw the cdma2000 protocol stack. Explain the cdma2000 MAC Sub layer enhancement and logical channels.,Understanding,WT
Draw the wireless ATM architecture and specify physical layer requirement for Wireless ATM for low and high speed.,Remembering,WT
Explain the Virtual Private Network (VPN) along with tunneling protocol .,Understanding,WT
Compare the Wireless Local Loop and Wired Access.,Understanding,WT
Explain the Bluetooth protocol stack.,Understanding,WT
Write a short note on VSAT system.,Understanding,WT
Explain the concept of Orthogonal Frequency Multiplexing (OFDM).,Remembering,WT
Illustrate the FHSS and DSSS with suitable examples.,Understanding,WT
Explain the functional architecture of a GSM system in detail.,Understanding,WT
Explain the MMDS and LMDS working in WLL based technology in detail.,Understanding,WT
Explain the IEEE 802.11 WLAN Architecture in detail.,Understanding,WT
Explain the hidden terminal and exposed terminal problem with respect to WLAN in detail.,Understanding,WT
Explain the wireless technology offered by IEEE 802a. ,Understanding,WT
Explain the bluetooth protocol architechture with neat diagram.,Understanding,WT
 
Explain the Bluetooth security aspect.  ,Understanding,WT
Explain the WEP protocol in detail,Understanding,WT
Write a short note on satellite systems.,Remembering,WT
Write a short note on MACA.,Remembering,WT
A mobile communication system is allocated RF spectnim of 25 MHz and uses RF channel bandwidth of 25 KI-Iz so that total number of 1000 voice channels can be supported in the system.a) channel bandwidth of 25 KI-Iz so that total number of 1000 voice channels can be supported in the system.b)        The cell size is reduced to the extent that the service area is now cow* with 100 cells. Compute the system while keeping the frequency reuse factor as 4.c) Consider the cell size is further reduced to that the service area is now co? red with 700 cells with the frequency reuse factor of 7.,Applying,WT
Explain the GARS Architecture with neat diagram.,Understanding,WT
Explain the COMAE Architecture with neat diagram.,Understanding,WT
Give in detail comparison between WiMax and LTE.f3GPP. B. Explain in detail Bluetooth Protocol Stack with neat diagram,Understanding,WT
Neatly explain the WLL Architecture. Explain the two local loop techniques with diagram,Understanding,WT
Explain in detail GSM Privacy and Authentication with neat diagram,Understanding,WT
Explain the main factors of change in economics of wireless technology. B. Explain the Wired Equivalent Privacy Protocol. Also explain WEP security based on the access control list with nea diagram,Understanding,WT
Compare the CDMA 2000 & W-CDMA,Understanding,WT
Explain the IEEE802.11 standards.,Understanding,WT
Explain the wireless sensor networks,Understanding,WT
What is the frequency range of the IEEE 802.11a standard?,Remembering,WT
What is the maximum distance running the lowest data rate for 802.11b?,Remembering,WT
Explain Cloud computing Architecture and Cloud components.,Understanding,CC
Explain Security concerns in cloud computing.,Understanding,CC
Explain how Microsoft Azure is  different from other open source cloud services and  explain Microsoft Azure life cycle,Understanding,CC
Explain Microsoft Azure life cycle.,Understanding,CC
Explain Windows Hypervisor technology and its relevance to Azure.,Understanding,CC
What do you understand by Mesh? How will you add a system to a Mesh? How will you access a Mesh- Enabled Web application?,Remembering,CC
Explain the advantages of REST over SOA web services.,Understanding,CC
Briefly explain service oriented architecture and internet service bus.,evaluate,CC
Compare Windows Azure Table Storage and SQL Database,Understanding,CC
Explain how Azure maximizes data availability and minimizes security risk,Understanding,CC
Explain cloud queues in detail.,Understanding,CC
Explain auditing and regulatory standards relevant to adoption of cloud computing.,Understanding,CC
Explain the significance of Partition keys and Rows keys in Azure Tables?,Understanding,CC
Explain AppFabric Service Bus?,Understanding,CC
 Describe a workflow that will illustrate the steps required to develop, build and deploy a simple web role cloud service to the cloud using windows azure. ,creating,CC
Explain conceptual Architecture of Open Stack and its modes of operation.,Understanding,CC
What is CSB? Explain its role with example.,Remembering,CC
What are public cloud adoption phases for SMBs ? What are cloud vendor roles and responsibilities towards SMBs.,Remembering,CC
What are the risks associated with  cloud computing.,Remembering,CC
What are the fundamental requirements for cloud application architecture.,Remembering,CC
 What is the need of virtualization? Define Server virtualization, Application virtualization, Presentation Virtualization. ,Remembering,CC
 Compare the REST and REST paradigms in the context of programmatic communication between applications deployed on different cloud providers,
or between cloud applications and those deployed in-house.
 ,analysing,CC
What do you mean by Parallel and Distributed Programming Paradigms in  detail? Explain about Hadoop Library from apache in detail.,Remembering,CC
What is Data Migration?,Remembering,CC
Discuss with examples how to write ANN operation using MapReduce model.,understanding,CC
How is Amazon DynamoDB different from MYSQL database?,remembering,CC
 Compare the following Bare-Metal hypervisor, Hosted hypervisor ,understanding,CC
What are security groups & key pairs?,Remembering,CC
What is there significance in Amazon AWS cloud computing environment?,Remembering,CC
How does cloud architecture overcome the difficulties faced by traditional architecture?,remembering,CC
